h1real,h1imag,h2real,h2imag,y1real,y1imag,y2real,y2imag,n1real,n1imag,n2real,n2imag,n1realxSNR11,n1imagxSNR11,n2realxSNR11,n2imagxSNR11,target,ymod1real,ymod1imag,ymod2real ,ymod2imag,ymod3real,ymod3imag,ymod4real,ymod 4 imag,  BER ,  All  this data is calculated for 0 db
-0.125423176,-0.254862433,-0.138630751,0.321349397,-2.180090537,0.049171408,-0.345509566,0.613650437,-1.380214997,-0.07390931,-0.491579777,0.631374384,-0.388944586,-0.020827644,-0.138527181,0.177921301,0,-1.540468322,0.553250434,-2.180090537,0.049171408,-0.179657104,0.31310523,-0.345509566,0.613650437,,
1.003603832,-0.337652994,0.206181288,0.083819498,0.182316181,-0.043571766,-0.071131358,-0.411731379,0.79306573,-0.072733835,-0.719188716,-0.110188457,0.223485923,-0.020496395,-0.20266738,-0.031051107,0,0.182316181,-0.043571766,0.709648957,-1.799194601,-0.071131358,-0.411731379,-1.219181254,-0.799473609,,
0.139873537,-0.2964116,1.122672793,-0.342626592,0.709648957,-1.799194601,-1.219181254,-0.799473609,1.51820956,-1.350843226,-0.279539522,-0.616469357,0.427831454,-0.380667621,-0.078774237,-0.173721065,1,0.182316181,-0.043571766,0.709648957,-1.799194601,-0.071131358,-0.411731379,-1.219181254,-0.799473609,,
-0.568843333,1.238759691,0.492587848,1.330212236,-0.887847974,-0.221316265,-0.924480111,-1.095135752,-0.87253687,0.744815186,-0.698025474,0.243619678,-0.24588089,0.209888919,-0.196703579,0.068652025,0,-0.887847974,-0.221316265,-1.699339257,-0.604744053,-0.924480111,-1.095135752,-0.608610528,0.039802577,,
0.590496504,0.127556511,-0.172332628,0.563073849,-1.699339257,-0.604744053,-0.608610528,0.039802577,-0.879562196,0.180995251,-1.078780306,0.582251332,-0.247860627,0.051004462,-0.30400029,0.164078425,0,-0.887847974,-0.221316265,-1.699339257,-0.604744053,-0.924480111,-1.095135752,-0.608610528,0.039802577,,
0.152501781,0.886938985,-0.82437615,-1.120988142,-1.174328367,-2.219286863,1.079139395,0.408532263,-0.492516934,-0.381993045,0.443780071,-0.976853661,-0.138791272,-0.10764564,0.125057224,-0.275277362,0,-1.174328367,-2.219286863,0.815956555,0.168733119,1.079139395,0.408532263,0.38258936,0.090657994,,
-0.811725194,-1.711386851,0.074157623,0.838243422,0.815956555,0.168733119,0.38258936,0.090657994,0.349815208,0.751705795,-0.147895248,0.290588703,0.098577926,0.211830693,-0.041676881,0.081887897,1,-1.174328367,-2.219286863,0.815956555,0.168733119,1.079139395,0.408532263,0.38258936,0.090657994,,
0.510710724,0.031738378,1.828218397,-1.019597081,-1.614786947,-1.343200555,-1.365391413,-0.736047699,-1.587105267,-0.975522731,0.021019726,-1.091197527,-0.447246264,-0.274902306,0.005923359,-0.307499463,0,-1.614786947,-1.343200555,0.846958595,0.276433134,-1.365391413,-0.736047699,1.912251577,0.375323866,,
-0.471562916,0.488236586,0.132463038,0.517339377,0.846958595,0.276433134,1.912251577,0.375323866,0.152386243,-0.046359844,0.713171463,-0.711454325,0.042942443,-0.013064204,0.200971718,-0.200487829,0,-1.614786947,-1.343200555,0.846958595,0.276433134,-1.365391413,-0.736047699,1.912251577,0.375323866,,
-0.058332368,1.337581896,-1.366853613,-0.153535566,0.673653733,1.517102883,-1.559759927,0.904078291,0.495417869,0.466815882,-1.490587889,0.443252551,0.139608755,0.131548716,-0.420047667,0.124908569,1,0.673653733,1.517102883,-0.870166275,-1.61051332,-1.559759927,0.904078291,-1.18742065,0.53831325,,
-0.310395944,-0.147748227,-1.269029579,-0.805241577,-0.870166275,-1.61051332,-1.18742065,0.53831325,-0.609435985,-0.769173864,0.67643023,-0.13964457,-0.171739061,-0.216753195,0.190618039,-0.03935184,0,0.673653733,1.517102883,-0.870166275,-1.61051332,-1.559759927,0.904078291,-1.18742065,0.53831325,,
0.594235236,-1.828178491,-0.627933507,-0.501859209,-1.312810666,-1.252811335,-1.002902846,-1.199886107,-1.783044848,-0.529026775,-0.28662234,-0.304601545,-0.502462038,-0.149079745,-0.080770175,-0.085836715,1,-1.312810666,-1.252811335,-0.683161657,-1.899247534,-1.002902846,-1.199886107,-0.543626584,-0.336819611,,
0.070776321,0.80459255,-0.385040099,-0.764264361,-0.683161657,-1.899247534,-0.543626584,-0.336819611,-0.313020309,-0.037597277,-0.71537816,-0.522368073,-0.088209123,-0.010594913,-0.201593565,-0.147203323,1,-1.312810666,-1.252811335,-0.683161657,-1.899247534,-1.002902846,-1.199886107,-0.543626584,-0.336819611,,
0.214621612,0.164202537,-0.424494983,-1.048140303,-0.56635269,1.353142376,-1.57154835,-0.488969957,-0.473130427,1.961798965,-0.901703507,0.89130874,-0.133328154,0.552834948,-0.254100048,0.251170803,1,-0.56635269,1.353142376,-0.385242925,0.940817706,-1.57154835,-0.488969957,-0.945627905,-0.610163105,,
0.346457801,1.02497294,0.522808678,0.903868551,-0.385242925,0.940817706,-0.945627905,-0.610163105,-0.781985983,1.781691749,-1.015146186,-0.712178639,-0.22036365,0.502080735,-0.286068195,-0.20069194,0,-0.56635269,1.353142376,-0.385242925,0.940817706,-1.57154835,-0.488969957,-0.945627905,-0.610163105,,
1.21048746,-0.609466588,-0.137266069,-0.747102506,1.880515538,-1.051023823,0.365570789,-1.27242696,-0.044605988,-0.136699215,0.042838183,-0.211855806,-0.012569967,-0.038521839,0.0120718,-0.059700966,1,1.880515538,-1.051023823,-0.686424789,-0.584138688,0.365570789,-1.27242696,-0.368305382,-1.827088874,,
-1.512045512,0.683583673,-0.593678897,0.752771603,-0.686424789,-0.584138688,-0.368305382,-1.827088874,-0.473191046,-0.531729994,0.14855076,-1.823080217,-0.133345237,-0.149841512,0.041861604,-0.513744005,0,1.880515538,-1.051023823,-0.686424789,-0.584138688,0.365570789,-1.27242696,-0.368305382,-1.827088874,,
0.957842835,0.645598488,-0.758128275,0.018850719,-0.598512449,-0.160427715,1.844370541,0.230763837,-0.40169222,0.139889071,1.246267997,0.010131489,-0.113196868,0.03942074,0.351198322,0.002855054,0,-0.598512449,-0.160427715,0.051771906,0.909479432,1.844370541,0.230763837,0.182325249,1.044223095,,
0.679496998,0.220886415,0.087716455,0.330871978,0.051771906,0.909479432,0.182325249,1.044223095,1.209546004,0.296782081,-0.291727495,0.796931804,0.340850064,0.08363319,-0.082208808,0.224575382,1,-0.598512449,-0.160427715,0.051771906,0.909479432,1.844370541,0.230763837,0.182325249,1.044223095,,
1.015897924,-0.304120939,-1.386565687,1.382254788,0.422807995,0.455485267,-0.695378961,2.436151969,-0.394389429,0.203643864,-0.318851704,1.089562824,-0.111138941,0.057386841,-0.08985241,0.307038804,1,0.422807995,0.455485267,0.529940066,0.320813219,-0.695378961,2.436151969,-2.082133123,0.060744724,,
-0.139793756,-0.660278468,-0.854075733,-0.522109844,0.529940066,0.320813219,-2.082133123,0.060744724,-0.089559132,-0.361120141,-0.497760381,0.668959047,-0.025237763,-0.101763656,-0.140268875,0.188512659,0,0.422807995,0.455485267,0.529940066,0.320813219,-0.695378961,2.436151969,-2.082133123,0.060744724,,
2.056272198,0.020766307,0.583517876,0.057640964,2.897331383,-0.234821201,-0.972270906,-0.786752832,0.753841379,0.292149163,-0.855790224,-0.188504604,0.212432501,0.082327634,-0.241161685,-0.053120597,1,2.897331383,-0.234821201,-1.53107741,-0.103778662,-0.972270906,-0.786752832,-0.760557041,0.790354732,,
0.975080437,-0.766014943,-0.748246436,-0.90369172,-1.53107741,-0.103778662,-0.760557041,0.790354732,-0.766559383,-0.66011702,0.181142535,0.110589873,-0.216016434,-0.186020976,0.051045966,0.031164226,1,2.897331383,-0.234821201,-1.53107741,-0.103778662,-0.972270906,-0.786752832,-0.760557041,0.790354732,,
-0.331361255,-0.519004557,-0.192664967,-0.260790555,-0.576800613,1.766576069,0.443347161,1.073976454,-0.261896095,1.38794452,0.16817649,0.239534381,-0.07380232,0.391122766,0.047392135,0.067500789,0,-0.576800613,1.766576069,-0.864666401,1.231015213,0.443347161,1.073976454,-0.750389092,0.203156326,,
0.776703496,-0.016461316,-0.196485128,-0.919288741,-0.864666401,1.231015213,-0.750389092,0.203156326,-0.081146302,0.875663479,-0.753090354,0.668784859,-0.022867028,0.246761968,-0.212220862,0.188463573,0,-0.576800613,1.766576069,-0.864666401,1.231015213,0.443347161,1.073976454,-0.750389092,0.203156326,,
0.496064722,-0.499792231,-1.450853219,-0.335786065,0.046695161,0.66081324,1.338660467,-1.561149756,0.220540891,-0.225898239,-0.099040946,-1.301310957,0.062148423,-0.063658124,-0.027909739,-0.366709428,0,0.046695161,0.66081324,0.937350553,0.994294882,1.338660467,-1.561149756,-1.165538647,-0.114510577,,
-0.250209733,-0.754207169,-0.582363617,0.703253618,0.937350553,0.994294882,-1.165538647,-0.114510577,0.409654825,1.174193409,-0.55142376,-0.849222583,0.11544073,0.330887703,-0.155391216,-0.239310924,0,0.046695161,0.66081324,0.937350553,0.994294882,1.338660467,-1.561149756,-1.165538647,-0.114510577,,
-1.115147715,0.364191833,0.35919232,-0.247141618,-0.460946342,-1.227869887,1.204324789,-1.139684357,0.468574201,-0.692612209,0.967077404,-0.385324356,0.13204421,-0.19517812,0.272522412,-0.108584404,1,-0.460946342,-1.227869887,-1.204567262,-2.619662901,1.204324789,-1.139684357,1.338895333,0.927756237,,
0.199392844,1.121160501,0.023673852,0.819684526,-1.204567262,-2.619662901,1.338895333,0.927756237,-0.557030782,-1.569360193,1.068168066,1.33260521,-0.156971274,-0.442245702,0.301009761,0.375528148,0,-0.460946342,-1.227869887,-1.204567262,-2.619662901,1.204324789,-1.139684357,1.338895333,0.927756237,,
-0.943052718,-0.097795806,0.797257436,0.726122139,-0.645007632,-0.077381363,1.582859327,-0.906393811,0.196921045,-0.118020032,0.869580172,-1.658071697,0.05549235,-0.033258045,0.245047692,-0.467244604,1,-0.645007632,-0.077381363,-0.765928909,-0.027737184,1.582859327,-0.906393811,1.83705263,-0.2085207,,
0.247614236,-0.155267563,-0.211471618,-0.336910922,-0.765928909,-0.027737184,1.83705263,-0.2085207,-0.274179643,-0.206680008,1.422839506,0.066693191,-0.077263823,-0.058242426,0.400956173,0.018794141,0,-0.645007632,-0.077381363,-0.765928909,-0.027737184,1.582859327,-0.906393811,1.83705263,-0.2085207,,
0.016185528,-0.600874585,-0.185258749,0.94513395,-0.584563048,1.928952494,0.214450444,-1.923360467,0.301988033,0.731341581,0.226278213,-1.791483073,0.085100228,0.206092058,0.0637652,-0.50483993,0,-0.584563048,1.928952494,-0.107603686,1.216924565,0.214450444,-1.923360467,0.96102586,1.98883329,,
-1.237587034,1.09280301,-0.201985739,0.758631151,-0.107603686,1.216924565,0.96102586,1.98883329,-0.971264974,0.86907864,0.687202656,0.784089434,-0.27370247,0.244906361,0.193653708,0.220956403,1,-0.584563048,1.928952494,-0.107603686,1.216924565,0.214450444,-1.923360467,0.96102586,1.98883329,,
-0.587864898,-0.097288973,-0.692403419,0.954239104,0.720541539,0.46187025,-0.289222246,0.0691547,0.883059111,0.445665205,-0.512046844,0.638311325,0.248846057,0.125588455,-0.144294801,0.179876131,0,0.720541539,0.46187025,0.42510473,1.06281499,-0.289222246,0.0691547,0.829711609,1.242770814,,
-0.817699452,-0.074371578,-0.37728185,0.149330085,0.42510473,1.06281499,0.829711609,1.242770814,-0.568779354,1.18419733,0.073329901,0.462429557,-0.160282022,0.333706808,0.020664366,0.130312649,1,0.720541539,0.46187025,0.42510473,1.06281499,-0.289222246,0.0691547,0.829711609,1.242770814,,
-1.416077309,-0.023172612,0.681813163,-0.308663029,2.310661052,-0.86946167,-0.024920124,0.813694789,1.049313133,-1.025241669,0.467208513,0.465858392,0.295696441,-0.288913102,0.131659359,0.131278895,0,2.310661052,-0.86946167,0.070207143,0.025382803,-0.024920124,0.813694789,0.277053942,-0.020161726,,
0.367738024,0.197133574,-0.01416183,0.18325192,0.070207143,0.025382803,0.277053942,-0.020161726,-0.671080675,-0.097626173,0.749154727,0.06851732,-0.189110534,-0.027511056,0.211111802,0.019308181,1,2.310661052,-0.86946167,0.070207143,0.025382803,-0.024920124,0.813694789,0.277053942,-0.020161726,,
-0.024586871,-0.718564662,-0.564386883,0.107966363,-0.358609291,-1.140325542,0.08087805,-0.464643451,0.133347807,-0.327823568,-0.384812482,-0.140128548,0.037577412,-0.092380681,-0.108440157,-0.039488225,0,-0.358609291,-1.140325542,0.633639969,1.855426414,0.08087805,-0.464643451,-0.205946926,-0.935742924,,
0.720319271,1.867615973,-0.094198983,0.350967013,0.633639969,1.855426414,-0.205946926,-0.935742924,1.160368153,0.02672055,0.126526127,-1.107570332,0.326991746,0.007529851,0.035655063,-0.31211332,0,-0.358609291,-1.140325542,0.633639969,1.855426414,0.08087805,-0.464643451,-0.205946926,-0.935742924,,
-0.505249124,1.036992822,0.955574041,0.204316619,0.370626002,-0.074998525,-1.407525846,-1.24962311,0.125746448,0.850624931,-0.437318446,-1.001843347,0.035435349,0.239706106,-0.123236338,-0.282319455,0,0.370626002,-0.074998525,1.420950592,1.003616932,-1.407525846,-1.24962311,-0.735481081,0.928405444,,
-0.158937138,-0.272036423,-0.416506422,-0.146096882,1.420950592,1.003616932,-0.735481081,0.928405444,0.951299982,0.462711075,-0.354302712,0.887237874,0.268076335,0.130391981,-0.099842504,0.250023633,1,0.370626002,-0.074998525,1.420950592,1.003616932,-1.407525846,-1.24962311,-0.735481081,0.928405444,,
-0.207715161,-1.005215325,-0.599574397,-0.549378572,-1.730461387,1.5915561,1.27024737,0.097531229,-1.317274035,0.463254708,-0.416715598,-0.576397167,-0.371207823,0.130545177,-0.117430456,-0.162428722,0,-1.730461387,1.5915561,-0.435355439,0.104036415,1.27024737,0.097531229,-1.06898145,-0.171266657,,
-0.792050318,0.590443807,1.786151512,0.403700105,-0.435355439,0.104036415,-1.06898145,-0.171266657,-1.142296389,0.397324167,-0.229944726,-0.068256425,-0.321899122,0.11196595,-0.064798424,-0.019234661,1,-1.730461387,1.5915561,-0.435355439,0.104036415,1.27024737,0.097531229,-1.06898145,-0.171266657,,
