Target,Y1,Y2(imagnary),Y3,Y4(imagnary
0,0.053469402,-0.19527484,-0.940500749,0.99714069
0,-1.745150934,-0.705971395,1.650673411,-0.418892415
0,-1.39794203,1.357391675,-0.787224934,-0.12410519
1,0.310764108,1.207431895,0.615739984,-0.837925735
1,-2.431166697,0.454209777,1.682980069,1.353729479
1,0.334456289,-0.954200011,0.411615449,0.206065349
1,-0.887206755,-1.203072737,1.061200632,-1.519828364
1,2.02431487,1.792491832,-0.823053599,-1.086863093
0,2.083820604,1.728121844,0.271934243,0.147111676
1,-0.283751137,0.627372209,-1.618340771,0.220102201
1,-1.362116754,-0.238053839,0.076858605,-2.485582744
0,0.596710576,0.594685482,-0.071745119,-0.56146185
1,-1.612469354,-0.546267378,-0.729767934,-0.332301305
1,-0.556863807,-0.401841653,-1.214219676,1.603514722
1,-0.277941457,-0.775170642,0.660935783,1.02440182
1,-0.236371718,-1.91504493,0.995939516,-1.104212801
1,-0.750068373,-0.097944178,-0.686333897,-1.115149243
0,0.884929764,-0.47687593,0.595801971,0.84432772
0,1.720095901,0.524380598,1.772770198,-0.01733326
0,-0.112913014,-1.246894606,0.477125099,-0.780492648
0,-1.005360666,1.439091685,-0.779315193,0.090347886
1,-0.051512494,1.531355775,1.291591766,-0.161688076
0,0.749484407,0.459077081,-0.704473799,-0.099798598
0,0.536522828,1.759412187,-2.413252655,-0.252830695
0,1.571934077,-0.852379037,0.632457321,-0.492638059
0,-1.271077684,-1.098608592,1.456098706,-0.873358265
0,1.160568046,0.874860196,-2.04955569,-0.308359424
0,0.039307611,2.596639324,-0.187596967,-0.112009475
1,0.213204095,-0.240537578,1.103712273,-0.275465235
0,-0.370726675,-0.841573842,0.517453216,0.067694841
0,-0.564761651,-0.387304674,-1.660634417,-0.723711053
1,-0.237499591,-1.906031104,-0.277752968,0.422838566
1,0.064635149,0.939061864,-0.005368511,0.536851562
0,0.177493825,0.295087664,-0.105213724,1.247976785
0,0.105075202,-0.653050944,0.425781754,-0.262418667
0,1.219277768,1.119295107,0.639995999,-0.891756139
0,0.568055541,-1.926880332,0.74618902,1.932959365
1,0.293178865,1.28323253,-1.217376208,0.395352723
0,1.084930037,1.012266731,-1.719014026,0.673800479
